function,bandwidth [B/s],avg. execution time [s],CI start [s],CI end [s]
copy,11635927074.82757,0.04613907500000001,0.04611565968270482,0.0461624903172952
mul,11579925942.264267,0.046362205999999996,0.046341298852082206,0.046383113147917786
add,12795163367.983223,0.06293834200000001,0.06291189185283876,0.06296479214716126
triad,12796063832.865437,0.06293391300000001,0.06290676244474906,0.06296106355525095
dot,17971209092.070026,0.029873945000000002,0.029809784026229077,0.029938105973770928
