function,bandwidth [B/s],avg. execution time [s],CI start [s],CI end [s]
copy,11624108490.397928,0.04618598600000001,0.046082740861713156,0.04628923113828687
mul,11562599826.782053,0.046431678,0.04627457772582719,0.04658877827417281
add,12810956228.746473,0.06286075400000002,0.06269550040294275,0.06302600759705729
triad,12824386582.972635,0.06279492300000002,0.06259652600541273,0.06299331999458731
dot,17906336414.88651,0.029982175000000003,0.02981840773045683,0.030145942269543178
