function,bandwidth [B/s],avg. execution time [s],CI start [s],CI end [s]
copy,15778535303.453922,0.034025396000000006,0.033968791688521474,0.03408200031147854
mul,16140028844.98774,0.03326331800000001,0.03320358336034566,0.033323052639654356
add,17580707054.51238,0.045806256000000004,0.045749853694837896,0.04586265830516211
triad,17542509818.16209,0.045905995000000005,0.045850759742565736,0.045961230257434274
dot,12918579280.652412,0.04155804600000001,0.041539243299562975,0.04157684870043704
