function,bandwidth [B/s],avg. execution time [s],CI start [s],CI end [s]
copy,15924582029.003113,0.033713344000000006,0.03367859309721145,0.033748094902788565
mul,16106563364.670284,0.033332430999999996,0.03331799674794457,0.03334686525205542
add,17481269010.702583,0.046066814000000005,0.046018693483541054,0.046114934516458955
triad,17467479857.137833,0.046103180000000014,0.04606549196501846,0.04614086803498157
dot,12848986196.2006,0.041783134000000006,0.041754994166277606,0.04181127383372241
