function,bandwidth [B/s],avg. execution time [s],CI start [s],CI end [s]
copy,2080039666.3564377,0.038460804999999994,0.0383986152403327,0.038522994759667285
mul,2054738806.8681388,0.03893438900000001,0.038850927359254564,0.03901785064074545
add,2009112530.794672,0.059727864000000006,0.059612592403932914,0.0598431355960671
triad,2021387935.1540775,0.05936515099999999,0.05927112390484678,0.0594591780951532
dot,2047384828.0134041,0.039074237000000005,0.038988851126446566,0.03915962287355344
