function,bandwidth [B/s],avg. execution time [s],CI start [s],CI end [s]
copy,14446387530.690145,0.037162987,0.03713787354304327,0.03718810045695673
mul,14485436598.767958,0.037062805,0.03704703345262783,0.03707857654737216
add,16171034334.189882,0.049799311000000006,0.049761192088215195,0.04983742991178482
triad,16154331886.348867,0.049850799999999994,0.04972772424010855,0.049973875759891435
dot,21793257769.266754,0.024634725000000003,0.02460371048180447,0.024665739518195538
