function,bandwidth [B/s],avg. execution time [s],CI start [s],CI end [s]
copy,149685581073.74344,0.0035866575000000006,0.0035848686667293004,0.003588446333270701
mul,149582498172.5372,0.0035891292000000004,0.003587204786773869,0.003591053613226132
add,154908663954.01996,0.0051985883,0.005196509959124811,0.005200666640875189
triad,154936563089.00394,0.005197652199999999,0.005195512591663002,0.005199791808336996
dot,164840477263.13992,0.0032569119000000007,0.0032531867913816455,0.003260637008618356
